Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
1000,1.4189383,0.00029970426,-8.12787,16.49466666679493,106.22222222222223,16.49466671956341
2000,1.4189383,0.00029909523,-8.106265,15.811790909241774,93.54545454545455,16.793440806958824
3000,1.4189383,0.0002984956,-8.120459,15.497144444516582,95.88888888888889,14.546960277226754
4000,1.4189384,0.0002978967,-8.069912,17.769018181909235,93.0,17.769018953443844
5000,1.4189383,0.00029730226,-8.207862,14.395920000100158,104.3,15.330422574796508
6000,1.4189384,0.0002967086,-8.210431,13.707400000165633,137.0,12.27744314769682
7000,1.4189383,0.00029610452,-8.141808,15.742737500172552,118.875,15.770777958872108
8000,1.4189383,0.0002954967,-8.137997,15.893980000143348,103.1,16.993833154129486
9000,1.4189382,0.0002948925,-8.187632,9.424628571528176,134.42857142857142,8.995963531197049
10000,1.4189383,0.00029429936,-8.21191,15.054325000191966,108.75,15.0543259299302
11000,1.4193233,0.00029369947,-6.736863,19.511610008688148,115.4,19.15853340150271
12000,1.4194471,0.00029308343,-6.4412327,22.2795300105201,92.1,22.31678196245974
13000,1.4194471,0.00029249745,-6.067637,22.402550010005505,93.2,22.402550387382508
14000,1.4194472,0.000291911,-5.906755,22.464636373575726,95.63636363636364,22.461350068449974
15000,1.4194471,0.00029130213,-6.3410745,22.443281827581153,85.0,22.447800119717915
16000,1.4194472,0.0002907017,-6.1588316,22.456610009914584,90.0,22.456609869003294
17000,1.4194471,0.0002901062,-6.548024,22.05954445677748,109.44444444444444,22.05954439110226
18000,1.4194472,0.00028950526,-6.290819,22.403410011104278,97.9,22.403410033881663
19000,1.4194472,0.00028891093,-6.692241,22.514530010855378,96.3,22.514529824256897
20000,1.4194471,0.0002883135,-6.0526934,22.2644500108574,99.0,22.264450344443322
