Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
1000,1.4189384,0.00029973077,22.558838,14.989500067291374,311.0,14.98950046300888
2000,1.4189383,0.00029911683,22.524317,None,None,None
3000,1.4189384,0.0002985048,21.903452,None,None,None
4000,1.4189383,0.0002978963,22.636248,10.337400350093958,1628.0,10.337401926517487
5000,1.4189383,0.00029729246,22.876621,18.2392001064145,492.0,18.239200234413147
6000,1.4189383,0.0002966856,22.553368,None,None,None
7000,1.4189384,0.0002960988,22.578382,None,None,None
8000,1.4189383,0.00029551203,22.731104,None,None,None
9000,1.4189383,0.00029489765,22.559254,None,None,None
10000,1.4189384,0.000294294,22.872917,None,None,None
11000,1.4196849,0.0002936983,21.215239,-9.245999279228272,3325.0,None
12000,1.4199431,0.00029309336,19.793499,None,None,-9.245994985103607
13000,1.419943,0.00029249673,18.850122,13.768700206339417,957.0,13.76870197057724
14000,1.419943,0.0002919024,19.828022,None,None,None
15000,1.4199431,0.00029129942,19.646336,None,None,None
16000,1.419943,0.00029069642,19.769312,None,None,None
17000,1.419943,0.000290082,20.556618,None,None,None
18000,1.419943,0.00028949458,19.867058,None,None,None
19000,1.419943,0.0002889072,19.719822,None,None,None
20000,1.4199431,0.00028830423,19.421013,None,None,None
21000,1.4196348,0.00028770126,19.249382,None,None,None
22000,1.4192773,0.00028708682,18.5765,None,None,None
23000,1.4192773,0.00028649942,18.703613,None,None,None
24000,1.4192773,0.00028591213,19.075823,-27.15529887892626,5106.0,-27.15529215335846
25000,1.4192774,0.00028530663,19.672703,None,None,None
