Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
10000,-1.3190598,1.4189384,0.00029430873,-73.02999797649682,8971.0,-73.02998667955399
11000,-0.80342144,1.4196715,0.00029370602,None,None,None
12000,0.76236,1.419916,0.00029309164,None,None,None
13000,1.9683862,1.419916,0.0002924964,None,None,None
14000,2.1247816,1.419916,0.0002919012,None,None,None
15000,2.1693842,1.419916,0.00029130603,None,None,None
16000,0.19336699,1.419916,0.00029071083,None,None,None
17000,-1.869772,1.419916,0.00029009645,None,None,None
18000,-1.4492673,1.419916,0.00028950124,None,None,None
19000,-0.374933,1.419916,0.00028890598,None,None,None
20000,1.4108112,1.4199159,0.00028829166,-94.80999770201743,10206.0,-94.80998361110687
21000,1.812597,1.420224,0.0002876964,None,None,None
22000,1.9913563,1.4205761,0.0002871012,None,None,None
23000,2.124919,1.4205761,0.00028650605,None,None,None
24000,1.991852,1.4205761,0.0002859108,None,None,None
25000,2.4063015,1.4205761,0.0002852964,None,None,None
26000,2.8308682,1.4205761,0.0002847012,None,None,None
27000,2.9933486,1.4205761,0.000284106,None,None,None
28000,0.044222847,1.420576,0.00028350798,-58.169998263940215,7694.0,-58.169988334178925
29000,-0.09147439,1.4205761,0.00028291714,1.1700003761798143,1677.0,None
30000,1.1468823,1.4205762,0.0002823105,None,None,1.1700000166893005
31000,1.175554,1.4205753,0.0002816958,None,None,None
32000,-0.39111328,1.4205717,0.0002811012,-7.259999446570873,2455.0,-7.259996950626373
33000,-1.2910509,1.4205717,0.00028050662,None,None,None
34000,-0.67559063,1.4205717,0.00027989224,None,None,None
35000,-0.51946324,1.4205717,0.00027929703,None,None,None
36000,-0.3212304,1.4205717,0.00027870183,None,None,None
37000,-0.23268002,1.4205717,0.00027810657,None,None,None
38000,-0.1320351,1.4205717,0.00027751143,None,None,None
39000,0.48225194,1.4205717,0.00027689704,None,None,None
40000,0.8058141,1.4205717,0.0002763018,None,None,None
41000,1.234721,1.4205717,0.00027570664,None,None,None
42000,1.2491955,1.4210539,0.0002750922,None,None,None
43000,1.1385864,1.4211228,0.00027449703,None,None,None
44000,0.60345286,1.4211227,0.00027389586,-104.14999729208648,11988.0,-104.14998358488083
45000,-0.4730312,1.4211228,0.00027329524,None,None,None
46000,0.4646,1.4211228,0.0002727,None,None,None
47000,1.037415,1.4211228,0.00027210484,None,None,None
